336 3,118324
337,979 -5339,981
337,982 -5232,109
337,985 -5125,444
337,988 -5017,786
337,991 -4940,019
337,994 -4812,452
337,997 -4729,737
338 -4625,973
338,003 -4531,485
338,006 -4443,608
338,009 -4355,84
338,012 -4265,886
338,015 -4174,389
338,018 -4091,9
338,021 -4031,768
338,024 -3957,47
338,027 -3875,539
338,03 -3790,813
338,033 -3713,864
338,036 -3648,609
338,039 -3577,247
338,0421 -3511,874
338,045 -3467,838
338,048 -3392,614
338,0511 -3314,73
338,054 -3276,57
338,0571 -3213,56
338,0601 -3168,859
338,063 -3096,956
338,0661 -3046,523
338,0691 -2975,718
338,0721 -2930,83
338,0751 -2870,534
338,0781 -2837,371
338,0811 -2758,887
338,0841 -2728,837
338,0871 -2688,331
338,0901 -2649,94
338,0931 -2606,993
338,0961 -2551,643
338,0991 -2514,778
338,1021 -2462,797
338,1051 -2417,596
338,1081 -2408,003
338,1111 -2344,416
338,1141 -2301,359
338,1171 -2261,719
338,1201 -2233,677
338,1231 -2206,955
338,1261 -2180,281
338,1291 -2129,533
338,1321 -2107,481
338,1351 -2079,224
338,1382 -2040,488
338,1411 -2017,281
338,1441 -1970,625
338,1472 -1943,847
338,1501 -1902,357
338,1532 -1912,831
338,1562 -1871,6
338,1591 -1847,769
338,1622 -1800,566
338,1652 -1783,269
338,1682 -1748,354
338,1712 -1732,974
338,1742 -1712,021
338,1772 -1700,901
338,1802 -1667,672
338,1832 -1655,575
338,1862 -1622,389
338,1892 -1601,15
338,1922 -1575,712
338,1952 -1571,085
338,1982 -1537,92
338,2012 -1502,397
338,2042 -1493,335
338,2072 -1474,693
338,2102 -1450,063
338,2132 -1437,613
338,2162 -1421,31
338,2192 -1409,76
338,2222 -1388,124
338,2252 -1370,406
338,2282 -1350,918
338,2312 -1346,763
338,2342 -1311,297
338,2372 -1311,749
338,2402 -1271,515
338,2433 -1270,779
338,2462 -1259,894
338,2492 -1246,227
338,2523 -1223,023
338,2552 -1191,593
338,2583 -1181,019
338,2613 -1176,481
338,2643 -1166,293
338,2673 -1142,927
338,2703 -1127,217
338,2733 -1119,36
338,2763 -1122,763
338,2793 -1090,451
338,2823 -1079,751
338,2853 -1075,041
338,2883 -1069,201
338,2913 -1033,474
338,2943 -1034,328
338,2973 -1034,985
338,3003 -1015,532
338,3033 -991,4157
338,3063 -988,7953
338,3093 -983,3654
338,3123 -972,1315
338,3153 -962,62
338,3183 -952,5833
338,3213 -931,9086
338,3243 -924,8669
338,3273 -918,3625
338,3303 -914,5806
338,3333 -912,4062
338,3363 -895,4987
338,3393 -881,1884
338,3423 -874,4771
338,3453 -860,5204
338,3484 -860,1441
338,3513 -845,7797
338,3543 -845,9487
338,3574 -827,0154
338,3604 -821,0964
338,3634 -817,4667
338,3664 -797,0419
338,3694 -785,4315
338,3724 -800,9697
338,3754 -786,8581
338,3784 -771,6238
338,3814 -758,6481
338,3844 -761,222
338,3874 -766,8712
338,3904 -738,8589
338,3934 -749,5867
338,3964 -727,5683
338,3994 -743,1604
338,4024 -719,2758
338,4054 -692,0278
338,4084 -723,0173
338,4114 -702,7724
338,4144 -700,3133
338,4174 -681,6111
338,4204 -699,6755
338,4234 -683,0915
338,4264 -661,7491
338,4294 -675,7308
338,4324 -655,0782
338,4354 -649,2328
338,4384 -642,0342
338,4414 -638,3294
338,4445 -630,6157
338,4474 -617,6563
338,4504 -635,3069
338,4535 -623,3243
338,4565 -607,9496
338,4595 -622,3573
338,4625 -608,912
338,4655 -599,2255
338,4685 -586,2476
338,4715 -577,2237
338,4745 -591,2111
338,4775 -584,4454
338,4805 -570,9443
338,4835 -563,0452
338,4865 -559,489
338,4895 -558,9689
338,4925 -554,1984
338,4955 -559,8524
338,4985 -552,0299
338,5015 -552,6672
338,5045 -536,6912
338,5075 -542,1712
338,5105 -525,3201
338,5135 -523,246
338,5165 -517,8926
338,5195 -513,5942
338,5225 -530,3044
338,5255 -511,9702
338,5285 -511,5643
338,5315 -511,054
338,5345 -503,0694
338,5375 -497,2214
338,5405 -492,8484
338,5435 -485,6586
338,5465 -493,1821
338,5496 -487,659
338,5526 -473,5957
