335 0,01199505
339,8409 -108,5646
339,8468 -107,5076
339,8528 -107,1313
339,8589 -107,2923
339,8649 -107,7148
339,8709 -108,077
339,8769 -108,111
339,8829 -107,6774
339,8889 -106,7879
339,8949 -105,5679
339,9009 -104,181
339,9069 -102,7479
339,9129 -101,3019
339,9189 -99,79897
339,9249 -98,17599
339,9309 -96,41773
339,937 -94,59133
339,9429 -92,82744
339,9489 -91,26427
339,955 -89,99246
339,961 -89,03154
339,967 -88,33989
339,973 -87,83631
339,979 -87,41132
339,985 -86,92714
339,991 -86,22549
339,997 -85,16103
340,003 -83,65687
340,009 -81,75488
340,015 -79,62978
340,021 -77,55424
340,027 -75,82697
340,033 -74,69032
340,039 -74,26289
340,045 -74,50562
340,0511 -75,2331
340,0571 -76,17253
340,063 -77,05503
340,0691 -77,70327
340,0751 -78,07293
340,0811 -78,22552
340,0871 -78,24921
340,0931 -78,17571
340,0991 -77,94218
340,1051 -77,41784
340,1111 -76,47651
340,1171 -75,07401
340,1231 -73,29355
340,1291 -71,34224
340,1351 -69,50346
340,1411 -68,06313
340,1472 -67,23241
340,1532 -67,08989
340,1591 -67,56132
340,1652 -68,44415
340,1712 -69,46678
340,1772 -70,35822
340,1832 -70,90012
340,1892 -70,94644
340,1952 -70,4161
340,2012 -69,2802
340,2072 -67,56286
340,2132 -65,35611
340,2192 -62,82927
340,2252 -60,20951
340,2312 -57,7302
340,2372 -55,57119
340,2433 -53,82663
340,2492 -52,51754
340,2552 -51,63211
340,2613 -51,15551
340,2673 -51,06386
340,2733 -51,29374
340,2793 -51,72513
340,2853 -52,20724
340,2913 -52,61851
340,2973 -52,91873
340,3033 -53,15337
340,3093 -53,40457
340,3153 -53,72138
340,3213 -54,07312
340,3273 -54,35067
340,3333 -54,41048
340,3393 -54,13555
340,3453 -53,48506
340,3513 -52,51294
340,3574 -51,34971
340,3634 -50,15667
340,3694 -49,07389
340,3754 -48,18702
340,3814 -47,52581
340,3874 -47,0864
340,3934 -46,8526
340,3994 -46,79438
340,4054 -46,84349
340,4114 -46,86915
340,4174 -46,68375
340,4234 -46,09006
340,4294 -44,95274
340,4354 -43,25626
340,4414 -41,11538
340,4474 -38,732
340,4535 -36,32531
340,4595 -34,07671
340,4655 -32,11519
340,4715 -30,53413
340,4775 -29,40601
340,4835 -28,76956
340,4895 -28,59631
340,4955 -28,77155
340,5015 -29,12085
340,5075 -29,47941
340,5135 -29,766
340,5195 -30,01436
340,5255 -30,34156
340,5315 -30,873
340,5375 -31,67033
340,5435 -32,70291
340,5496 -33,87413
340,5555 -35,07994
340,5616 -36,26101
340,5676 -37,4162
340,5736 -38,57042
340,5796 -39,71735
340,5856 -40,77444
340,5916 -41,58196
340,5976 -41,95134
340,6036 -41,73742
340,6096 -40,89309
340,6156 -39,47746
340,6216 -37,61913
340,6276 -35,46408
340,6336 -33,14241
340,6396 -30,76791
340,6457 -28,45716
340,6516 -26,33996
340,6577 -24,54363
340,6637 -23,15749
340,6697 -22,20341
340,6757 -21,63521
340,6817 -21,36867
340,6877 -21,32258
340,6937 -21,44679
340,6997 -21,72607
340,7057 -22,16535
340,7117 -22,76717
340,7177 -23,50847
340,7237 -24,32034
340,7297 -25,07942
340,7357 -25,62484
340,7417 -25,8075
340,7477 -25,55702
340,7538 -24,93014
