333 13,7841
338,5656 -11068,47
338,5736 -11007,14
338,5816 -10943,36
338,5896 -10875,94
338,5976 -10804,43
338,6056 -10729,43
338,6136 -10652,57
338,6216 -10575,86
338,6296 -10500,69
338,6376 -10427,18
338,6457 -10354,47
338,6537 -10281,79
338,6617 -10209,3
338,6697 -10137,93
338,6777 -10068,54
338,6857 -10001,27
338,6937 -9935,533
338,7017 -9870,342
338,7097 -9804,569
338,7177 -9737,018
338,7257 -9666,729
338,7337 -9593,653
338,7417 -9519,085
338,7498 -9445,168
338,7578 -9373,691
338,7658 -9305,145
338,7738 -9238,768
338,7818 -9173,301
338,7898 -9107,64
338,7978 -9041,005
338,8058 -8972,819
338,8138 -8902,683
338,8218 -8830,548
338,8298 -8756,945
338,8378 -8682,975
338,8459 -8609,896
338,8539 -8538,511
338,8618 -8468,856
338,8699 -8400,486
338,8779 -8333,037
338,8859 -8266,491
338,8939 -8200,889
338,9019 -8135,896
338,9099 -8070,694
338,9179 -8004,263
338,9259 -7935,767
338,9339 -7864,924
338,942 -7792,311
338,95 -7719,362
338,9579 -7647,713
338,966 -7578,211
338,974 -7510,513
338,982 -7443,757
338,99 -7377,575
338,998 -7312,33
339,006 -7248,447
339,014 -7185,82
339,022 -7123,969
339,03 -7062,57
339,038 -7001,571
339,0461 -6940,846
339,054 -6880,046
339,0621 -6818,868
339,0701 -6757,348
339,0781 -6695,794
339,0861 -6634,562
339,0941 -6573,991
339,1021 -6514,397
339,1101 -6455,891
339,1181 -6398,113
339,1261 -6340,185
339,1341 -6281,018
339,1422 -6219,912
339,1501 -6157,18
339,1582 -6094,368
339,1662 -6033,611
339,1742 -5976,363
339,1822 -5922,465
339,1902 -5870,299
339,1982 -5817,79
339,2062 -5763,492
339,2142 -5707,242
339,2222 -5650,183
339,2302 -5594,049
339,2383 -5540,012
339,2462 -5487,984
339,2542 -5436,991
339,2623 -5386,159
339,2703 -5335,271
339,2783 -5284,551
339,2863 -5234,208
339,2943 -5184,375
339,3023 -5135,301
339,3103 -5087,274
339,3183 -5040,107
339,3263 -4992,705
339,3343 -4943,435
339,3423 -4891,266
339,3503 -4836,788
339,3584 -4782,103
339,3664 -4729,563
339,3744 -4680,447
339,3824 -4634,644
339,3904 -4591,276
339,3984 -4549,313
339,4064 -4507,665
339,4144 -4465,152
339,4224 -4420,899
339,4304 -4374,936
339,4384 -4328,308
339,4464 -4282,391
339,4545 -4237,968
339,4625 -4194,931
339,4705 -4152,776
339,4785 -4111,156
339,4865 -4069,82
339,4945 -4028,237
339,5025 -3985,698
339,5105 -3941,954
339,5185 -3897,605
339,5265 -3853,702
339,5345 -3811,041
339,5425 -3769,894
339,5505 -3730,302
339,5586 -3692,345
339,5666 -3655,994
339,5746 -3620,782
339,5826 -3585,809
339,5906 -3550,2
339,5986 -3513,543
339,6066 -3475,899
339,6146 -3437,516
339,6226 -3398,682
339,6306 -3359,787
339,6386 -3321,385
339,6466 -3284,133
339,6547 -3248,658
339,6627 -3215,372
339,6707 -3184,132
339,6787 -3154,04
339,6867 -3123,836
339,6947 -3092,807
339,7027 -3061,413
339,7107 -3030,878
339,7187 -3002,069
339,7267 -2974,675
339,7347 -2947,382
339,7427 -2918,764
339,7508 -2888,101
339,7588 -2855,564
339,7668 -2821,833
339,7748 -2787,55
339,7828 -2753,048
339,7908 -2718,454
339,7988 -2683,998
339,8068 -2650,191
339,8148 -2617,696
339,8228 -2587,01
339,8308 -2558,196
339,8388 -2530,779
339,8468 -2503,888
339,8549 -2476,669
339,8629 -2448,826
339,8709 -2420,863
339,8789 -2393,708
339,8869 -2367,984
339,8949 -2343,593
339,9029 -2319,857
339,9109 -2295,901
339,9189 -2270,9
339,9269 -2244,288
339,9349 -2216,06
339,9429 -2186,96
339,951 -2158,171
339,959 -2130,638
339,967 -2104,658
339,975 -2080,07
339,983 -2056,641
339,991 -2034,056
339,999 -2011,635
340,007 -1988,46
340,015 -1964,131
340,023 -1939,354
340,031 -1915,543
340,039 -1893,642
340,0471 -1873,263
340,0551 -1852,944
340,063 -1831,236
340,0711 -1807,626
340,0791 -1782,594
340,0871 -1756,995
340,0951 -1731,461
340,1031 -1706,262
340,1111 -1681,471
340,1191 -1657,177
340,1271 -1633,627
340,1351 -1611,221
340,1432 -1590,261
340,1512 -1570,552
340,1591 -1551,261
340,1672 -1531,269
340,1752 -1509,796
340,1832 -1486,864
340,1912 -1463,301
340,1992 -1440,311
340,2072 -1418,844
340,2152 -1399,17
340,2232 -1380,939
340,2312 -1363,605
340,2392 -1346,802
340,2473 -1330,407
340,2552 -1314,35
340,2633 -1298,366
340,2713 -1281,909
340,2793 -1264,363
340,2873 -1245,456
340,2953 -1225,466
340,3033 -1204,997
340,3113 -1184,598
340,3193 -1164,606
340,3273 -1145,194
340,3353 -1126,355
340,3434 -1107,823
340,3513 -1089,223
340,3593 -1070,484
340,3674 -1052,095
340,3754 -1034,808
340,3834 -1019
340,3914 -1004,351
340,3994 -990,1891
340,4074 -976,1045
340,4154 -962,1999
340,4234 -948,785
340,4314 -935,8853
340,4395 -923,0186
340,4474 -909,3654
340,4554 -894,1718
340,4635 -877,1558
340,4715 -858,7229
340,4795 -839,8743
340,4875 -821,8495
340,4955 -805,6584
340,5035 -791,6612
340,5115 -779,3376
340,5195 -767,4289
340,5275 -754,5197
340,5355 -739,7939
340,5435 -723,4641
340,5515 -706,5535
340,5596 -690,1597
340,5676 -674,7248
340,5756 -659,8844
340,5836 -645,0187
340,5916 -629,9785
340,5996 -615,282
340,6076 -601,631
340,6156 -589,2399
340,6236 -577,5499
340,6316 -565,514
340,6396 -552,2454
340,6476 -537,6202
340,6557 -522,4211
340,6637 -507,8619
340,6717 -494,7684
340,6797 -483,0024
340,6877 -471,5707
340,6957 -459,308
340,7037 -445,5565
340,7117 -430,3597
340,7197 -414,2172
340,7277 -397,8101
340,7357 -381,9349
340,7437 -367,476
340,7517 -355,1378
340,7598 -344,9729
340,7678 -336,1372
340,7758 -327,2822
340,7838 -317,4225
340,7918 -306,5372
340,7998 -295,3193
340,8078 -284,3561
340,8158 -273,6154
340,8238 -262,6928
340,8318 -251,3863
340,8398 -239,9138
340,8478 -228,6767
340,8559 -217,9913
340,8639 -208,0422
340,8719 -198,8791
340,8799 -190,282
340,8879 -181,6569
340,8959 -172,2209
340,9039 -161,4399
340,9119 -149,3791
340,9199 -136,6589
