
335 15,52223
335,2162 3,156966
335,2222 -19,82647
335,2282 -12,84932
335,2342 25,23949
335,2402 44,82885
335,2462 35,35607
335,2523 19,82445
335,2583 19,30119
335,2643 22,87226
335,2703 17,40721
335,2763 -13,09688
335,2823 18,24036
335,2883 -3,979331
335,2943 18,13837
335,3003 -27,04222
335,3063 5,285545
335,3123 19,5866
335,3183 24,59632
335,3243 13,16803
335,3303 17,97911
335,3363 -4,686976
335,3423 -16,73495
335,3484 49,41881
335,3543 17,54258
335,3604 10,0439
335,3664 29,61154
335,3724 20,21672
335,3784 3,231488
335,3844 -13,84856
335,3904 0,7493199
335,3964 39,9393
335,4024 31,33283
335,4084 30,30538
335,4144 -24,20448
335,4204 17,58833
335,4264 23,74537
335,4324 -1,197743
335,4384 17,95399
335,4445 21,04527
335,4504 9,823443
335,4565 27,41831
335,4625 26,32552
335,4685 37,02754
335,4745 12,53667
335,4805 -14,1031
335,4865 34,73091
335,4925 14,2709
335,4985 -1,71319
335,5045 31,41139
335,5105 1,517062
335,5165 28,12852
335,5225 13,34559
335,5285 10,02413
335,5345 -3,262852
335,5405 2,137652
335,5465 -15,09496
335,5526 6,468452
335,5586 -0,3208787
335,5646 10,94148
335,5706 15,94055
335,5766 -28,76429
335,5826 34,28475
335,5886 6,303652
335,5946 -6,433232
335,6006 17,86136
335,6066 16,81699
335,6126 8,268876
335,6186 6,492326
335,6246 12,03382
335,6306 23,62135
335,6366 34,47479
335,6426 4,563708
335,6487 24,3327
335,6547 29,088
335,6607 18,79684
335,6667 18,75093
335,6727 11,92577
335,6787 -3,474526
335,6847 -3,166178
335,6907 -13,08859
335,6967 17,00001
335,7027 42,42502
335,7087 32,63993
335,7147 30,26063
335,7207 8,416077
335,7267 -19,05106
335,7327 -5,575633
335,7387 -9,424567
335,7448 14,47364
335,7508 20,38593
335,7567 4,157458
335,7628 19,10498
335,7688 34,90345
335,7748 25,35316
335,7808 10,90906
335,7868 2,057805
335,7928 21,79105
335,7988 9,241525
335,8048 5,898211
335,8108 2,178816
335,8168 16,03202
335,8228 25,78657
335,8288 37,575
335,8348 -7,161939
335,8409 27,09151
335,8468 0,3275254
335,8528 32,39569
335,8589 42,00875
335,8649 30,69151
335,8709 23,2591
335,8769 29,29823
335,8829 6,358871
335,8889 12,49664
335,8949 2,827854
335,9009 27,74511
335,9069 30,98815
335,9129 12,44837
335,9189 7,435636
335,9249 18,95772
335,9309 31,98
335,937 11,11848
335,9429 61,70706
335,9489 17,86175
335,955 47,03659
335,961 32,13128
335,967 52,32288
335,973 36,4754
335,979 51,33795
335,985 32,48518
335,991 40,43264
335,997 31,55464
336,003 67,82392
336,009 46,75085
336,015 87,43059
336,021 58,63075
336,027 75,11294
336,033 44,4331
336,039 59,93472
