
336 -18,12877
338,045 -5070,653
338,048 -4976,985
338,0511 -4862,987
338,054 -4750,236
338,0571 -4684,327
338,0601 -4601,417
338,063 -4498,334
338,0661 -4441,765
338,0691 -4347,281
338,0721 -4265,252
338,0751 -4183,985
338,0781 -4133,017
338,0811 -4050,496
338,0841 -3964,501
338,0871 -3890,796
338,0901 -3822,894
338,0931 -3770,674
338,0961 -3701,417
338,0991 -3660,171
338,1021 -3596,941
338,1051 -3521,953
338,1081 -3451,592
338,1111 -3394,285
338,1141 -3316,914
338,1171 -3279,993
338,1201 -3235,608
338,1231 -3182,021
338,1261 -3128,654
338,1291 -3085,952
338,1321 -3027,752
338,1351 -2979,367
338,1382 -2948,407
338,1411 -2890,573
338,1441 -2840,223
338,1472 -2801,107
338,1501 -2765,378
338,1532 -2713,161
338,1562 -2671,25
338,1591 -2626,585
338,1622 -2613,881
338,1652 -2567,606
338,1682 -2512,266
338,1712 -2495,933
338,1742 -2451,616
338,1772 -2423,122
338,1802 -2380,54
338,1832 -2332,839
338,1862 -2302,682
338,1892 -2245,408
338,1922 -2243,932
338,1952 -2217,664
338,1982 -2179,435
338,2012 -2153,078
338,2042 -2101,896
338,2072 -2084,657
338,2102 -2051,987
338,2132 -2036,888
338,2162 -1990,102
338,2192 -1975,159
338,2222 -1950,653
338,2252 -1926,012
338,2282 -1910,274
338,2312 -1879,99
338,2342 -1847,906
338,2372 -1831,012
338,2402 -1811,009
338,2433 -1782,585
338,2462 -1759,38
338,2492 -1747,669
338,2523 -1704,973
338,2552 -1682,67
338,2583 -1676,901
338,2613 -1642,936
338,2643 -1617,268
338,2673 -1608,458
338,2703 -1572,323
338,2733 -1583,644
338,2763 -1529,152
338,2793 -1525,446
338,2823 -1514,904
338,2853 -1480,082
338,2883 -1468,707
338,2913 -1462,905
338,2943 -1441,221
338,2973 -1414,543
338,3003 -1413,781
338,3033 -1397,955
338,3063 -1392,224
338,3093 -1363,43
338,3123 -1340,088
338,3153 -1323,014
338,3183 -1316,699
338,3213 -1295,984
338,3243 -1297,821
338,3273 -1278,166
338,3303 -1260,356
338,3333 -1236,063
338,3363 -1226,113
338,3393 -1204,471
338,3423 -1203,117
338,3453 -1193,501
338,3484 -1175,982
338,3513 -1174,928
338,3543 -1150,9
338,3574 -1147,494
338,3604 -1135,088
338,3634 -1118,33
338,3664 -1108,737
338,3694 -1111,33
338,3724 -1089,97
338,3754 -1077,52
338,3784 -1068,572
338,3814 -1058,203
338,3844 -1028,784
338,3874 -1028,991
338,3904 -1020,645
338,3934 -1019,446
338,3964 -998,9158
338,3994 -991,8691
338,4024 -989,8633
338,4054 -971,6357
338,4084 -960,7223
338,4114 -953,4737
338,4144 -943,6213
338,4174 -930,6183
338,4204 -945,412
338,4234 -922,4436
338,4264 -912,7888
338,4294 -907,0891
338,4324 -899,6769
338,4354 -885,289
338,4384 -883,2875
338,4414 -869,7399
338,4445 -873,0958
338,4474 -862,3295
338,4504 -848,7366
338,4535 -848,3939
338,4565 -841,5797
338,4595 -828,5976
338,4625 -806,4189
338,4655 -816,0292
338,4685 -824,5825
338,4715 -798,3511
338,4745 -786,8354
338,4775 -800,0562
338,4805 -773,2026
338,4835 -762,11
338,4865 -758,7339
338,4895 -754,0344
338,4925 -752,4744
338,4955 -749,2888
338,4985 -742,4696
338,5015 -716,6972
338,5045 -720,9987
338,5075 -726,9111
338,5105 -703,2758
338,5135 -710,165
338,5165 -681,8953
338,5195 -691,627
338,5225 -690,5004
338,5255 -688,8344
338,5285 -683,4821
338,5315 -689,8718
338,5345 -663,8626
338,5375 -661,0182
338,5405 -663,2347
338,5435 -652,0034
338,5465 -635,0426
338,5496 -649,6845
338,5526 -647,7144
338,5555 -632,4255
338,5586 -628,4614
338,5616 -614,9907
338,5646 -624,4589
338,5676 -620,5503
338,5706 -612,8694
338,5736 -616,0127
338,5766 -597,7896
338,5796 -592,972
338,5826 -593,5812
338,5856 -600,9763
338,5886 -589,5214
338,5916 -572,155
338,5946 -572,8003
338,5976 -564,1063
338,6006 -577,3824
338,6036 -564,231
338,6066 -555,0023
338,6096 -556,2548
338,6126 -553,4188
338,6156 -554,1027
338,6186 -556,1766
338,6216 -543,4602
338,6246 -516,601
338,6276 -533,7108
338,6306 -535,6902
338,6336 -517,4948
338,6366 -523,0457
338,6396 -517,1801
338,6426 -517,4797
338,6457 -509,6205
338,6487 -512,6607
338,6516 -511,2647
338,6547 -507,7092
338,6577 -510,1577
338,6607 -497,236
338,6637 -491,2948
338,6667 -494,5468
338,6697 -486,6793
338,6727 -484,4532
338,6757 -481,8327
338,6787 -478,379
338,6817 -476,8277
338,6847 -473,0411
338,6877 -471,3646
338,6907 -472,4067
338,6937 -464,4493
338,6967 -449,5301
338,6997 -453,8631
338,7027 -451,0947
338,7057 -462,2376
338,7087 -456,2545
338,7117 -451,047
338,7147 -444,354
338,7177 -432,2694
338,7207 -434,0569
338,7237 -429,0614
338,7267 -434,7809
338,7297 -440,0398
338,7327 -440,5998
338,7357 -421,8088
338,7387 -433,2146
338,7417 -423,5614
338,7448 -421,1628
338,7477 -415,1432
338,7508 -417,7166
338,7538 -405,6829
338,7567 -405,5983
338,7598 -411,0307
338,7628 -403,8622
338,7658 -406,4269
338,7688 -402,7506
338,7718 -394,5276
338,7748 -396,4024
338,7778 -390,8978
338,7808 -386,7996
338,7838 -385,673
338,7868 -384,9395
338,7898 -397,1723
338,7928 -374,1637
338,7958 -382,9606
338,7988 -384,5981
338,8018 -373,0857
338,8048 -384,3713
338,8078 -396,8565
338,8108 -379,0903
338,8138 -365,8135
338,8168 -363,7978
338,8198 -353,3658
338,8228 -380,2052
338,8258 -359,8999
338,8288 -368,5397
338,8318 -357,0197
338,8348 -361,1407
338,8378 -347,9502
338,8409 -364,8064
338,8438 -344,0246
338,8468 -357,2849
338,8499 -348,2789
338,8528 -352,9712
338,8559 -351,1423
338,8589 -341,3987
338,8618 -336,6743
338,8649 -323,4007
338,8679 -337,1304
338,8709 -342,634
338,8739 -333,4077
338,8769 -321,7646
338,8799 -346,0512
338,8829 -326,5026
338,8859 -316,032
338,8889 -332,5674
338,8919 -324,9129
338,8949 -311,0953
338,8979 -319,4448
338,9009 -337,2461
338,9039 -318,6838
338,9069 -315,6453
338,9099 -325,7727
338,9129 -317,6384
338,9159 -310,5063
338,9189 -304,0066
338,9219 -310,0804
338,9249 -314,81
338,9279 -304,8211
338,9309 -326,0624
338,9339 -304,8947
338,937 -315,0679
338,9399 -291,3908
338,9429 -310,5098
338,946 -308,443
338,9489 -301,5972
338,952 -305,6495
338,955 -302,35
338,9579 -298,6595
338,961 -297,3742
338,964 -289,8522
338,967 -307,0689
338,97 -289,1159
338,973 -297,8246
338,976 -280,1771
338,979 -294,1118
338,982 -274,2224
338,985 -274,653
338,988 -279,6165
338,991 -280,0196
338,994 -278,1201
338,997 -273,8151
339 -282,5561
336 -18,12877
336,003 4,068081
336,006 -1,736356
336,009 7,397834
336,012 18,33803
336,015 13,78944
336,018 9,281818
336,021 10,54981
336,024 -10,30586
336,027 2,119821
336,03 2,283246
336,033 13,98229
336,036 12,28813
336,039 16,84576
336,0421 21,8898
336,045 11,14739
